store_id,store_name,store_poi_lon,store_poi_lat,created_at
6458b059c553ad82cfad4b72,12,106.71667,26.56667,2023-05-08T16:18:33.666000+08:00
6458b168c553ad82cfad4b7b,123,120.33333,36.06667,2023-05-08T16:23:04.110000+08:00
6458b1a1c553ad82cfad4b7f,aa,106.45,29.56667,2023-05-08T16:24:01.209000+08:00
6458b242c553ad82cfad4b81,ss,120.2,30.26667,2023-05-08T16:26:42.311000+08:00
6458b2c4c553ad82cfad4b83,qq,114.06667,22.61667,2023-05-08T16:28:52.918000+08:00
6458b418c553ad82cfad4b85,ww,113.51667,22.3,2023-05-08T16:34:32.023000+08:00
6458b484c553ad82cfad4b87,dd,117.2,39.13333,2023-05-08T16:36:20.791000+08:00
6458b5ccc553ad82cfad4b89,22,121.472644,31.231706,2023-05-08T16:41:48.492000+08:00
646443ec51da6e4cfe67ab57,tt,116.2,23.1,2023-05-17T11:03:08.071000+08:00
646471b96a0553ed1ec7d76c,茉莉花,116.514855,39.903514,2023-05-17T14:18:33.420000+08:00
64647b20d9d167485a739586,5.15商家B门店A,116.474091,39.904545,2023-05-17T14:58:40.564000+08:00
646491191bff3e8088053106,5.15商家B门店B,116.458383,39.912641,2023-05-17T16:32:25.870000+08:00
64649c271bff3e8088053122,123,112,33,2023-05-17T17:19:35.636000+08:00
646c5753232b961d10587a43,www,1,1,2023-05-23T14:04:03.386000+08:00
646c5a9f232b961d10587a4b,1111,1,1,2023-05-23T14:18:07.638000+08:00
646c5bd6232b961d10587a4f,wwwq,1,1,2023-05-23T14:23:18.265000+08:00
646c5c47232b961d10587a55,aa,1,1,2023-05-23T14:25:11.030000+08:00
646c5cad232b961d10587a5b,www123,1,1,2023-05-23T14:26:53.090000+08:00
646ed0bb020f6d3486911bc4,123123,1,1,2023-05-25T11:06:35.852000+08:00
646ed107020f6d3486911bce,高碑店商铺,116.517708,39.899929,2023-05-25T11:07:51.873000+08:00
64705b6133df7179bb9a077c,丰台老式麻辣烫,116.21487,39.84833,2023-05-26T15:10:25.467000+08:00
